id,code,title_tw,title_en,image,badges,highlights_tw,desc_tw,page_url,quick_specs
cat-can-liners,001,清潔袋系列 (Can Liners),Can Liners & Trash Bags,src/formosa_canliner_official.png,"連捲點斷, 單張抽取, 環保標章認證",高強度防漏 · 商業機構與家用大容量,包含連捲清潔袋、單張平裝抽取清潔袋與通過環保標章認證之 50% 再生塑膠環保清潔袋。選用台塑 PE 純料韌性極佳，底封堅固不易破裂滴漏。,can-liners.html,10L 特小: 40 × 50 cm; 15L 小: 43 × 56 cm; 20L 中: 53 × 63 cm; 45L 大: 65 × 75 cm; 70L 特大: 80 × 90 cm; 90L 超大: 86 × 100 cm; 125L 超大: 90 × 110 cm; 126L 超特大: 91 × 110 cm
cat-draw-tape,002,拉繩袋系列 (Draw-Tape Bags),Draw-Tape & Medical Bags,src/Can-Liners-Draw-Tape-Draw-Tape-2.jpg,"一拉即束, 不髒手打包, 醫療隔離警示",專利加長拉繩 · 輕鬆拎舉不黏手打包,加長拉繩設計，雙手一拉自動提束包緊，打包過程衛生不髒手；並提供醫療等級高辨識度黃色與紅色傳染廢棄物隔離袋。,draw-tape.html,45L 大: 65 × 75 cm; 70L 特大: 78 × 88 cm; 90L 超大: 84 × 95 cm; 90L 超大 (超量包): 84 × 95 cm; 125L 超特大: 93 × 100 cm; 130L 巨無霸: 94 × 102 cm; 90L 超大 (彩色版): 84 × 95 cm; 90L 超大 (盒裝): 84 × 95 cm; 125L 超特大 (盒裝): 93 × 100 cm; 醫療黃/紅色隔離袋: 依需求客製
cat-heat-bags,003,耐熱袋系列 (Heat-Resistant Bags),Foodservice Heat-Resistant Bags,src/formosa_heat_bag_official.png,"食品級 PE, 平裝 / 捲裝, 高溫耐受",嚴選台塑食品級原料 · 絕無塑化劑添加,平裝與捲裝耐熱袋，適用於生鮮備料、小吃餐飲熱食分裝與高溫熱湯打包。通過國家食安標準審查，品質安全無虞。,foodservice.html,四兩: 12.7 × 17.8 cm; 半斤: 15.2 × 22.8 cm; 1斤: 20.3 × 27.9 cm; 2斤: 25.4 × 35.5 cm; 3斤: 30.4 × 43.1 cm; 5斤: 35.5 × 50.8 cm
cat-zipper-bags,004,密封包裝類 (Sealed & Zipper Bags),Sealed & Zipper Storage Bags,src/ai_zipper_bag.png,"雙軌密實, 立體站立, 冷凍保鮮",嚴密隔絕空氣濕氣 · 食材長效保鮮,提供雙軌密封密實袋、立體可站立密實袋、冷凍保鮮袋與通用夾鏈袋，滿足家用廚房食材分裝與商業食品儲存鎖鮮需求。,foodservice.html,1號夾鏈袋: 5.0 × 7.0 cm; 2號夾鏈袋: 6.0 × 8.5 cm; 3號夾鏈袋: 7.0 × 10.0 cm; 4號夾鏈袋: 8.5 × 12.0 cm; 5號夾鏈袋: 10.0 × 14.0 cm; 6號夾鏈袋: 12.0 × 17.0 cm; 7號夾鏈袋: 14.0 × 20.0 cm; 8號夾鏈袋: 17.0 × 24.0 cm; 9號夾鏈袋: 20.0 × 28.0 cm; 10號夾鏈袋: 24.0 × 34.0 cm; 11號夾鏈袋: 28.0 × 40.0 cm; 12號夾鏈袋: 34.0 × 45.0 cm
cat-specialty,005,其他類 (Specialty Protection & Tapes),Specialty Protection & Tapes,src/ai_specialty.png,"手套, 台塑遮蔽防塵膠帶",專業個人防護與建築施工/裝潢養生防塵,包含輕薄貼手防護手套，以及 550mm~3200mm 多種規格之台塑專利遮蔽防塵膠帶，適合建築施工、室內裝潢養生與日常防塵防護。,specialty.html,手套 S: 手掌寬 ~8 cm; 手套 M: 手掌寬 ~9 cm; 手套 L: 手掌寬 ~10 cm; 手套 XL: 手掌寬 ~11 cm; 防塵膠帶 550mm: 550 mm × 25 y (22.8m); 防塵膠帶 1100mm: 1100 mm × 25 y (22.8m); 防塵膠帶 1500mm: 1500 mm × 25 y (22.8m); 防塵膠帶 2100mm: 2100 mm × 25 y (22.8m); 防塵膠帶 2700mm: 2700 mm × 25 y (22.8m); 防塵膠帶 3200mm: 3200 mm × 25 y (22.8m)
cat-scale-sheet,006,Scale Sheet,Scale Sheet,src/scale sheet.png,,,,stretch-films.html,
